,mmsi,basedatetime,lat,lon,sog,cog,heading,vesselname,imo,callsign,vesseltype,vesselstatus,vessellength,vesselwidth,draft,cargo,geom,id,geometry,distance
21315,366207630,2016-01-13 22:02:37,44.71385,-124.18045,8.5,-72.5,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E61000000B24287E8C0B5FC0F31FD26F5F5B4640,9258008,POINT (406500.4833266163 4951841.266774687),13060.630177846413
21471,366207630,2016-01-13 22:17:19,44.74557,-124.20014,8.2,-79.2,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E6100000C6A70018CF0C5FC07A7077D66E5F4640,9267316,POINT (404992.8503926513 4955387.596376929),14642.111450825614
21721,366207630,2016-01-13 21:59:59,44.708,-124.17716,8.2,-70.4,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E6100000338AE596560B5FC0B4C876BE9F5A4640,9282567,POINT (406751.6795777371 4951187.664720269),12852.900149960253
22574,366207630,2016-01-13 21:51:58,44.69091,-124.16637,8.0,-66.1,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E610000046425BCEA50A5FC05C3D27BD6F584640,9331784,POINT (407579.2205555587 4949276.978992306),12535.884053526146
25767,367341970,2016-01-14 04:30:09,44.67687,-124.17514,9.6,141.4,138.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E61000002C0E677E350B5FC05FD218ADA3564640,9480533,POINT (406861.8060716914 4947727.383235335),11232.624336368679
25940,367341970,2016-01-14 04:47:22,44.6409,-124.13279,9.3,142.8,132.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E610000018CFA0A17F085FC0D200DE0209524640,9486197,POINT (410162.817638026 4943684.263005465),13704.783326024632
26115,367341970,2016-01-14 04:45:43,44.64452,-124.13653,9.7,144.2,141.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E6100000103B53E8BC085FC018CFA0A17F524640,9493438,POINT (409871.8177943851 4944090.502835499),13425.8674879379
26354,367341970,2016-01-14 04:52:36,44.63017,-124.12042,9.1,143.6,139.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E6100000327216F6B4075FC0CD751A69A9504640,9502711,POINT (411127.4583257635 4942478.813224424),14702.793394946842
27039,367341970,2016-01-14 04:44:33,44.64679,-124.13964,9.8,127.6,121.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E6100000A94D9CDCEF085FC09FB0C403CA524640,9527989,POINT (409628.7155586918 4944346.0989468),13197.142307914426
27041,367341970,2016-01-14 04:48:40,44.63826,-124.12953,9.9,133.2,140.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E6100000757632384A085FC0282CF180B2514640,9528006,POINT (410417.2934194594 4943387.423262238),13958.241725771933
27914,367341970,2016-01-14 04:32:29,44.67191,-124.16957,9.8,142.4,136.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E61000007E18213CDA0A5FC07CED992501564640,9560066,POINT (407295.3605188214 4947170.06811713),11444.055292681605
32809,366207630,2016-01-14 12:53:19,44.75713,-124.22047,6.7,148.9,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E6100000F2EF332E1C0E5FC00569C6A2E9604640,9757783,POINT (403402.7166426945 4956695.648470511),14920.45031080365
33262,366207630,2016-01-14 12:55:48,44.75311,-124.21739,6.9,151.9,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E61000008E1EBFB7E90D5FC0312592E865604640,9777852,POINT (403639.8102646179 4956245.443491244),14638.303569976877
33263,366207630,2016-01-14 12:56:58,44.7512,-124.21588,6.8,150.2,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E610000012F758FAD00D5FC0AA60545227604640,9777856,POINT (403756.161241924 4956031.488335518),14510.39641817871
34895,366207630,2016-01-14 13:02:28,44.74232,-124.20879,6.8,150.1,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E6100000D66EBBD05C0D5FC057957D57045F4640,9854109,POINT (404302.7236368328 4955036.713006482),13959.320306844944
45939,367341970,2016-01-15 07:16:49,44.65932,-124.19449,10.6,-104.1,297.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E61000008A592F86720C5FC0A3CC069964544640,10374027,POINT (405299.6026678837 4945800.210265052),9137.263809606984
46035,367515670,2016-01-15 07:20:34,44.59237,-124.27119,8.9,-54.4,356.0,BLACK HAWK,IMO7021962,WDG2439,1025,under way using engine,37.19,10.52,4.6,,0101000020E610000025404D2D5B115FC0D690B8C7D24B4640,10380374,POINT (399102.8094289449 4938455.358647151),5685.680814191658
46159,367341970,2016-01-15 07:37:00,44.69253,-124.26048,10.3,-106.5,295.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E6100000C6504EB4AB105FC0DBBFB2D2A4584640,10386233,POINT (400124.9064941148 4949568.016141438),7098.4421481704185
46288,367341970,2016-01-15 07:47:51,44.7109,-124.29553,10.4,-107.0,296.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E6100000293FA9F6E9125FC0FB5C6DC5FE5A4640,10392164,POINT (397380.1484197015 4951652.164222154),8214.734326528504
46289,367341970,2016-01-15 07:50:19,44.71499,-124.3039,10.4,-104.8,295.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E61000004850FC1873135FC0C87BD5CA845B4640,10392173,POINT (396724.4289377212 4952117.072432548),8631.949852176613
46537,367515670,2016-01-15 08:06:03,44.69846,-124.21821,9.4,20.0,18.0,BLACK HAWK,IMO7021962,WDG2439,1025,under way using engine,37.19,10.52,4.6,,0101000020E6100000406A1327F70D5FC036C8242367594640,10404603,POINT (403484.0605431916 4950175.770004858),9698.240536412333
46538,367515670,2016-01-15 08:09:34,44.70717,-124.21415,9.2,17.5,16.0,BLACK HAWK,IMO7021962,WDG2439,1025,under way using engine,37.19,10.52,4.6,,0101000020E61000000F9C33A2B40D5FC02D5BEB8B845A4640,10404611,POINT (403820.1498360089 4951138.489431932),10615.651815281339
46898,367515670,2016-01-15 06:47:53,44.51089,-124.26546,9.0,-50.0,358.0,BLACK HAWK,IMO7021962,WDG2439,1025,under way using engine,37.19,10.52,4.6,,0101000020E61000005B99F04BFD105FC03EEDF0D764414640,10421812,POINT (399417.3516588444 4929397.569586595),14398.720465156688
46899,367341970,2016-01-15 07:22:09,44.66869,-124.21149,10.6,-104.7,298.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E6100000965B5A0D890D5FC0C49448A297554640,10421840,POINT (403967.2951394133 4946860.933546488),8230.236531507451
46963,367515670,2016-01-15 07:01:04,44.54397,-124.26567,8.9,0.3,358.0,BLACK HAWK,IMO7021962,WDG2439,1025,under way using engine,37.19,10.52,4.6,,0101000020E6100000D061BEBC00115FC0A80018CFA0454640,10424888,POINT (399457.5897435366 4933072.307696706),10839.76352077575
46971,367341970,2016-01-15 07:24:49,44.67303,-124.22033,10.5,-106.6,295.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E6100000F91400E3190E5FC00A9DD7D825564640,10425235,POINT (403273.7821562077 4947353.481833576),7833.788034400455
47042,367341970,2016-01-15 07:33:21,44.68661,-124.24856,10.1,-101.8,295.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E610000000C63368E80F5FC0A48D23D6E2574640,10427851,POINT (401059.3191310009 4948895.866418657),7098.674615216294
47043,367341970,2016-01-15 07:03:10,44.63486,-124.15116,10.8,-99.0,298.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E6100000A81DFE9AAC095FC0F0C4AC1743514640,10427859,POINT (408696.488810966 4943033.742191585),12245.53883250791
47068,367341970,2016-01-15 07:13:49,44.65424,-124.1847,10.3,-101.6,301.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E61000008FE4F21FD20B5FC016DEE522BE534640,10429165,POINT (406067.563461674 4945224.59039165),9763.60479113686
47142,367341970,2016-01-15 07:38:30,44.6948,-124.26542,10.3,-105.9,294.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E610000014ED2AA4FC105FC062A1D634EF584640,10432696,POINT (399737.3984830133 4949826.24065356),7134.656101165717
